DATE,MRTSSM44112USN,RSCCASN,RSFSDPN,MRTSSM4453USN,RSFHFSN,MRTSSM7225USN,RSGASSN
1/1/2014,6170,15220,42930,3333,7254,37569,42657
2/1/2014,8163,17552,42896,3261,7284,37333,40679
3/1/2014,8718,20118,49410,3596,8171,43202,46399
4/1/2014,7741,20370,47703,3643,7856,41442,47371
5/1/2014,7839,21626,51058,4096,8456,44376,50670
6/1/2014,7685,19006,47901,3966,7951,42081,48714
7/1/2014,7804,19885,48708,4166,8472,42953,49893
8/1/2014,8089,22055,50117,4139,8807,44039,49451
9/1/2014,7731,18692,47121,3736,8442,40402,46258
10/1/2014,8087,20267,50204,4003,8509,43070,46248
11/1/2014,6955,23551,47692,4012,9014,41334,40979
12/1/2014,7140,32760,50862,5444,10294,44699,37745
1/1/2015,7604,15840,48089,3486,8028,42259,33142
2/1/2015,9317,18079,46736,3397,7583,40795,32288
3/1/2015,9583,20819,53263,3761,8698,46833,37609
4/1/2015,9229,20470,52412,3768,8349,45609,37945
5/1/2015,8804,22239,55541,4222,8993,48625,42253
6/1/2015,8596,19758,52138,4104,8680,45981,42879
7/1/2015,8639,20671,53200,4409,9227,46940,44000
8/1/2015,8612,22424,53202,4140,9268,46759,42053
9/1/2015,7920,19233,50763,3955,9090,43524,37692
10/1/2015,8137,20750,54025,4145,9235,46418,38138
11/1/2015,7383,23122,50184,4135,9610,43635,34074
12/1/2015,7269,33521,54546,5634,11055,47925,33674
1/1/2016,7824,15753,50021,3488,8297,44091,31048
2/1/2016,10520,19011,51471,3642,8507,45163,28987
3/1/2016,10192,21555,55860,3907,9402,49144,33586
4/1/2016,9319,20493,56355,3966,8734,48965,35277
5/1/2016,8701,21752,57069,4242,9139,49724,38808
6/1/2016,9114,20251,54676,4307,9252,47923,40062
7/1/2016,8954,20759,56069,4572,9313,49428,39752
8/1/2016,9507,22479,55241,4307,9706,48527,38755
9/1/2016,8613,19904,54369,4260,9667,46274,37924
10/1/2016,8986,20626,55818,4261,9175,47877,38978
11/1/2016,8028,23800,53360,4488,10079,46172,35812
12/1/2016,8633,34824,57614,5812,10989,50206,37154
1/1/2017,8656,15907,52983,3578,8407,46503,35924
2/1/2017,9769,18020,52835,3606,8377,45966,34210
3/1/2017,11141,21332,60191,4074,9815,52531,39103
4/1/2017,9389,21143,58623,4077,8726,50905,39460
5/1/2017,9883,21945,60171,4456,9574,52503,41292
6/1/2017,9933,20618,58695,4482,9522,51666,40493
7/1/2017,9679,20795,58474,4598,9396,51817,40211
8/1/2017,9789,22775,58502,4452,10033,51564,41634
9/1/2017,9420,19909,57132,4346,9676,49019,41677
10/1/2017,9299,20469,58184,4343,9647,49968,41964
11/1/2017,8753,24560,55671,4638,10702,48097,40241
12/1/2017,8389,33923,61188,5972,11434,53589,39943
1/1/2018,9021,15780,54478,3792,8878,47791,38954
2/1/2018,10140,18424,54702,3792,8701,47531,36879
3/1/2018,11511,22207,63389,4436,10185,55287,42186
4/1/2018,9771,20463,60128,4143,9365,52178,42573
5/1/2018,10348,23560,63941,4702,10114,55905,47442
6/1/2018,10020,21294,63529,4740,9921,56132,46750
7/1/2018,10035,21733,63442,4761,9916,56429,47089
8/1/2018,10352,23121,64514,4697,10399,56674,47873
9/1/2018,9210,19782,59965,4416,9759,51577,44442
10/1/2018,9383,21203,61724,4555,9966,53058,47071
11/1/2018,8923,25364,59138,4926,10770,51176,42017
12/1/2018,8629,33950,63088,6128,11120,55411,38177
1/1/2019,9135,16155,57077,3933,8818,50245,36439
2/1/2019,10005,17961,57307,3916,8629,50014,35514
3/1/2019,12250,22059,66690,4445,10018,58242,42065
4/1/2019,10630,21500,63999,4358,9579,55676,44270
5/1/2019,10805,23079,68306,4861,10296,59735,47387
6/1/2019,10316,21116,66674,4769,9759,58908,44876
7/1/2019,10491,21742,66613,4993,10188,59300,46392
8/1/2019,10590,23829,68469,5017,10616,59998,45949
9/1/2019,9685,19567,63520,4454,10116,54572,42751
10/1/2019,9983,21400,65759,4676,10272,56410,44348
11/1/2019,9630,25170,63127,5057,11037,54745,41424
12/1/2019,8840,35157,66004,6326,11189,57953,40962
1/1/2020,9140,16873,61567,4188,9490,54131,39696
2/1/2020,10780,19232,62956,4318,9452,54911,36963
3/1/2020,9450,10969,47740,5249,8159,42238,34261
4/1/2020,6504,2744,30017,4938,3977,27674,26810
5/1/2020,10707,8787,42321,5950,7349,39803,32045
6/1/2020,11966,16442,51473,5780,9993,48350,36314
7/1/2020,12413,17779,54511,6106,10625,51178,38876
8/1/2020,12191,18968,56358,5813,11017,52457,38730
9/1/2020,11071,18790,54740,5582,11071,50423,37231
10/1/2020,10956,20088,57392,5766,11114,52829,38161
11/1/2020,9954,21287,50911,5796,11187,46984,34394
12/1/2020,9568,32237,51497,7366,12129,47987,36635
1/1/2021,10509,15740,52757,5087,10707,49022,37214
2/1/2021,11244,16568,50627,4968,10003,46460,36295
3/1/2021,17815,24171,65145,5727,12551,59882,46360
4/1/2021,16853,23599,67346,5712,12124,61717,47274
5/1/2021,15632,26217,72468,6074,12133,66481,49497
6/1/2021,.,24566,72251,.,11745,.,49893
